vendor_id,amt_deviation,duplicate_entry,new_vendor,missing_po,entered_after_hrs,manual_entry,unusual_accts,desc_quality
V04,low,no,no,no,no,no,yes,normal
V09,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V01,outlier,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V07,low,no,no,yes,no,yes,yes,normal
V01,outlier,no,no,no,no,no,yes,normal
V08,low,no,yes,yes,no,no,yes,normal
V19,low,no,no,no,yes,yes,no,normal
V05,low,no,no,no,no,no,no,normal
V06,high,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,yes,no,normal
V10,low,no,yes,no,no,yes,no,low
V07,low,no,no,no,no,no,no,high
V09,low,no,no,yes,no,no,no,normal
V12,high,no,no,no,no,no,no,normal
V06,low,no,yes,yes,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,high
V01,low,no,yes,no,no,yes,no,high
V02,low,no,no,no,no,no,no,normal
V20,low,no,no,yes,no,yes,no,normal
V02,high,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V09,low,no,no,no,no,no,no,normal
V03,high,no,yes,no,no,yes,yes,low
V01,low,no,no,no,no,no,no,normal
V14,low,no,no,no,no,yes,no,normal
V19,low,no,no,no,no,no,no,normal
V15,low,no,no,no,no,no,no,normal
V18,low,no,no,no,no,no,no,low
V09,high,no,no,no,no,no,no,high
V02,high,no,no,no,no,no,no,normal
V14,outlier,no,no,no,no,no,no,high
V06,high,no,no,no,yes,yes,no,low
V04,low,yes,no,no,no,no,yes,high
V03,low,no,no,no,no,no,no,high
V05,high,no,no,no,yes,no,yes,normal
V04,low,no,no,no,no,no,no,normal
V05,low,no,yes,yes,no,no,no,normal
V14,low,no,no,no,no,no,no,low
V01,outlier,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,high
V01,low,no,no,yes,no,no,no,normal
V05,low,no,no,no,no,yes,no,normal
V03,low,no,no,no,no,yes,no,low
V04,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V15,low,no,no,no,no,no,no,normal
V09,low,no,no,no,no,no,no,normal
V15,high,no,yes,no,no,no,no,high
V05,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,high
V02,high,no,no,yes,yes,no,no,normal
V12,low,no,no,yes,no,no,no,normal
V04,low,no,no,no,no,no,no,high
V12,low,no,no,no,no,no,no,high
V01,high,no,no,yes,yes,yes,no,low
V08,low,no,yes,no,no,no,no,normal
V15,outlier,no,no,no,no,yes,yes,low
V07,low,yes,yes,no,no,no,no,normal
V01,low,no,no,yes,yes,yes,no,normal
V01,low,no,no,no,no,no,yes,normal
V07,high,no,yes,no,no,no,no,high
V19,low,no,no,no,no,yes,no,high
V02,low,no,no,no,no,no,no,normal
V09,low,no,no,no,no,no,no,high
V01,outlier,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,yes,normal
V07,high,no,no,no,no,no,no,high
V03,low,no,no,no,no,no,yes,high
V11,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,high
V01,low,no,no,no,no,no,no,low
V02,low,no,no,no,no,no,no,normal
V20,low,no,yes,no,no,no,no,normal
V05,high,no,no,yes,no,no,no,normal
V14,low,no,no,no,no,yes,no,normal
V11,low,no,no,yes,no,no,no,normal
V15,outlier,no,no,no,no,yes,no,normal
V09,low,no,yes,yes,no,no,no,low
V07,low,no,no,no,no,no,no,normal
V01,high,no,no,yes,no,no,no,low
V04,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V18,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V01,high,no,no,no,no,no,no,high
V07,low,no,no,no,no,yes,no,low
V12,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,yes,no,normal
V09,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,yes,no,normal
V08,low,no,no,no,no,no,no,high
V15,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V01,outlier,no,no,no,no,no,no,high
V02,low,no,no,no,yes,yes,no,low
V03,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V04,low,no,no,yes,no,no,no,high
V14,low,no,no,yes,no,no,no,normal
V13,low,no,no,no,no,no,no,high
V08,outlier,no,no,no,no,no,no,normal
V01,low,no,no,yes,no,no,no,high
V05,low,yes,no,yes,no,yes,no,normal
V10,low,no,no,no,yes,yes,no,low
V02,high,yes,no,no,no,no,no,high
V11,outlier,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V12,low,no,no,no,yes,no,no,high
V03,high,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V02,high,no,yes,no,no,no,yes,normal
V10,outlier,no,no,no,no,no,no,high
V02,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,low
V04,low,no,no,no,no,no,no,high
V03,low,no,no,no,no,no,no,normal
V02,low,no,yes,yes,no,no,yes,normal
V02,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V05,outlier,no,no,no,no,yes,no,high
V01,low,no,no,yes,no,no,no,normal
V18,low,no,no,no,no,yes,no,high
V12,low,no,no,no,no,no,no,normal
V16,low,no,yes,no,no,no,no,low
V03,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V15,high,no,no,no,yes,no,no,normal
V01,low,no,no,no,no,no,no,normal
V07,low,no,yes,yes,no,no,no,low
V08,low,no,no,no,no,no,no,normal
V07,outlier,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,high
V06,high,no,yes,no,no,no,no,low
V16,low,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,low
V10,low,no,no,no,no,no,no,normal
V20,outlier,no,yes,no,no,no,yes,normal
V06,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,yes,no,normal
V05,low,no,no,no,no,yes,no,normal
V18,low,no,no,no,no,no,no,normal
V09,low,no,no,no,no,no,no,normal
V01,high,no,no,no,no,no,no,high
V09,high,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,high
V17,high,no,no,no,no,yes,yes,high
V03,low,no,no,no,no,no,no,low
V10,outlier,yes,no,no,yes,no,no,low
V12,low,no,no,yes,yes,no,no,low
V02,low,no,no,no,no,no,no,normal
V03,high,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V06,low,no,no,no,yes,no,no,high
V03,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,normal
V17,low,yes,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,high
V05,low,no,no,yes,no,no,no,normal
V11,low,no,no,no,no,no,no,high
V04,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V09,low,no,yes,yes,no,no,yes,low
V05,low,no,no,no,no,no,no,high
V03,high,no,no,no,no,no,no,normal
V15,low,no,yes,no,no,no,no,normal
V02,low,no,no,yes,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V17,low,no,no,no,no,no,no,normal
V15,low,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,normal
V01,low,yes,yes,no,no,no,yes,normal
V14,low,no,no,no,no,yes,no,normal
V12,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V18,high,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V02,outlier,no,no,no,no,yes,no,normal
V06,low,no,no,no,no,no,no,low
V01,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V12,high,no,no,no,no,no,no,high
V03,low,no,no,no,no,no,no,high
V03,low,no,no,yes,no,yes,no,low
V07,low,no,yes,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V18,low,no,no,no,no,no,no,high
V06,low,no,no,no,no,no,no,high
V18,low,no,no,no,no,no,no,high
V09,low,no,no,no,no,no,no,normal
V06,outlier,yes,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V03,high,no,no,no,no,yes,yes,normal
V05,high,no,no,no,no,no,no,high
V07,low,no,no,no,no,no,yes,normal
V02,low,no,no,yes,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V14,low,no,no,no,yes,no,no,normal
V06,low,no,no,no,yes,no,no,high
V08,low,no,no,no,no,yes,no,low
V13,high,no,yes,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,yes,no,low
V18,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,low
V06,low,no,no,no,no,no,no,normal
V12,outlier,no,no,no,no,yes,no,high
V01,low,no,no,no,no,yes,no,normal
V03,low,no,no,yes,no,yes,yes,low
V19,low,no,no,no,no,no,no,high
V08,low,no,yes,no,no,no,no,low
V04,high,no,no,no,yes,no,no,low
V08,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V08,outlier,no,no,no,no,yes,no,high
V01,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,high
V02,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V01,low,no,no,yes,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V06,low,no,yes,no,no,no,no,high
V17,low,no,no,yes,no,no,no,normal
V08,low,no,no,no,no,no,no,high
V02,low,no,no,no,no,no,no,normal
V01,low,no,yes,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V02,outlier,no,no,no,yes,yes,no,normal
V08,low,yes,no,yes,yes,yes,yes,low
V11,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V15,high,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V03,outlier,yes,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V08,low,yes,no,yes,no,yes,no,normal
V16,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,high
V01,high,yes,yes,yes,no,yes,no,low
V01,low,no,no,no,no,yes,no,high
V02,low,no,no,no,yes,no,no,high
V03,low,no,no,no,no,no,no,high
V01,low,no,no,no,no,no,no,low
V03,low,no,no,no,no,no,no,low
V01,low,no,yes,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V19,low,no,yes,no,no,no,no,normal
V11,low,no,no,no,no,yes,no,low
V10,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,high
V04,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,high
V08,low,no,no,no,no,no,no,high
V02,low,yes,no,no,no,no,yes,normal
V16,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,high
V02,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,high
V06,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,low
V01,low,no,no,no,no,yes,no,normal
V05,low,no,no,no,no,no,no,high
V01,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,high
V09,high,no,no,no,no,no,no,normal
V16,low,no,yes,no,no,no,no,low
V20,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,yes,normal
V12,low,no,no,no,yes,no,no,normal
V14,low,no,no,no,no,no,yes,normal
V05,low,no,no,no,no,no,no,high
V02,low,yes,no,no,no,no,no,normal
V09,low,no,yes,no,no,no,no,normal
V01,high,no,no,no,yes,no,no,high
V05,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V18,low,no,no,no,no,no,no,high
V12,low,no,no,yes,no,no,no,normal
V06,low,no,no,no,no,no,no,normal
V20,low,no,no,no,yes,no,no,normal
V01,low,no,no,no,no,no,no,normal
V07,high,no,no,no,no,no,no,high
V04,low,no,yes,no,no,no,yes,low
V08,high,no,no,no,no,no,no,normal
V04,low,no,yes,yes,yes,no,no,low
V14,low,no,no,no,no,no,no,normal
V04,low,no,yes,no,no,no,no,high
V19,high,no,no,no,no,no,no,normal
V03,low,no,no,no,yes,no,no,normal
V07,low,no,no,no,no,no,no,normal
V12,high,no,no,no,no,no,no,normal
V12,low,no,no,no,no,yes,no,normal
V08,low,no,no,no,yes,no,no,normal
V06,low,no,no,no,no,no,no,normal
V14,outlier,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V11,high,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V05,low,no,yes,no,no,no,no,normal
V15,outlier,no,no,no,no,no,no,low
V12,low,no,no,no,no,no,no,normal
V10,low,no,yes,yes,no,no,no,low
V10,high,no,no,no,yes,no,no,normal
V07,high,no,no,no,no,no,no,normal
V11,low,no,no,no,no,no,no,high
V09,low,no,yes,no,no,no,no,normal
V17,low,no,no,no,no,no,no,high
V15,low,no,no,no,no,no,no,high
V14,low,no,no,no,no,no,no,high
V03,low,no,no,no,no,no,yes,normal
V04,low,no,no,no,no,no,no,normal
V08,low,no,no,no,yes,yes,no,low
V08,low,no,no,no,no,no,no,high
V01,low,no,no,yes,no,yes,no,normal
V10,low,no,no,no,no,no,no,high
V11,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,high
V14,low,no,no,no,no,yes,no,high
V14,low,no,no,no,no,no,no,high
V08,low,yes,yes,no,no,no,no,normal
V04,low,no,no,no,no,no,no,low
V19,low,no,no,no,no,no,no,normal
V01,high,no,no,no,yes,no,no,normal
V02,low,no,yes,yes,no,no,no,normal
V04,low,no,no,no,no,no,no,low
V04,low,no,no,no,no,yes,no,low
V01,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V17,low,no,no,no,no,no,no,normal
V07,low,no,no,no,yes,yes,no,normal
V06,low,no,no,no,yes,no,no,normal
V09,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,low
V12,low,no,no,no,no,no,yes,high
V01,low,no,no,no,no,no,no,low
V02,high,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,yes,normal
V07,low,no,no,no,no,no,no,normal
V01,low,no,no,no,yes,no,no,normal
V02,low,no,no,no,no,yes,no,normal
V09,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V14,outlier,no,no,no,yes,yes,no,high
V16,low,no,no,no,no,no,no,normal
V07,low,no,no,yes,no,no,no,low
V07,low,no,no,no,yes,yes,no,normal
V05,low,no,yes,no,no,no,no,normal
V09,low,no,no,no,no,no,no,low
V02,low,no,no,no,no,no,no,normal
V02,low,no,no,yes,yes,no,no,low
V04,low,no,no,no,no,no,no,high
V03,low,no,no,no,no,no,no,high
V14,low,no,no,no,no,no,no,high
V13,high,no,no,no,no,yes,yes,normal
V04,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,yes,no,normal
V01,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,yes,no,normal
V12,high,no,no,no,no,no,no,normal
V01,low,no,no,no,no,yes,no,high
V08,low,yes,no,no,no,no,no,high
V05,high,no,no,no,no,no,no,normal
V02,low,no,no,no,no,yes,no,normal
V02,outlier,no,yes,no,no,no,no,normal
V02,low,no,no,no,no,no,no,high
V01,low,no,no,no,no,no,no,normal
V11,low,no,no,yes,no,yes,no,low
V03,high,no,no,no,yes,yes,no,normal
V09,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,high
V03,low,no,no,no,no,no,no,normal
V06,low,yes,no,no,no,no,no,normal
V11,low,yes,no,no,no,no,no,low
V03,low,no,yes,no,no,no,no,normal
V05,low,no,no,no,yes,yes,no,normal
V02,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,yes,no,low
V13,low,no,no,yes,no,yes,no,normal
V03,low,no,no,no,no,no,no,high
V11,low,no,no,no,no,no,yes,normal
V02,low,no,yes,no,no,no,no,normal
V05,outlier,no,no,no,no,no,no,normal
V13,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,no,no,low
V04,low,no,no,no,no,no,yes,normal
V01,low,no,no,no,no,no,no,normal
V01,outlier,yes,no,no,yes,yes,no,normal
V04,low,no,no,no,no,no,no,high
V07,high,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V06,low,no,no,yes,no,no,no,normal
V15,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,high
V02,low,no,no,no,no,no,no,normal
V01,high,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,yes,normal
V01,high,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,low
V02,low,yes,no,no,no,no,no,normal
V13,low,no,no,no,no,no,no,high
V07,high,yes,no,no,no,no,no,normal
V13,low,no,no,no,no,yes,no,normal
V02,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V05,outlier,no,yes,yes,yes,yes,no,low
V07,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V04,outlier,no,no,no,yes,no,no,high
V09,low,no,yes,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V05,high,no,no,no,no,no,no,normal
V09,low,no,yes,no,no,no,no,high
V03,low,no,no,yes,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V18,low,yes,no,no,no,yes,no,low
V08,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V10,high,no,no,no,no,no,no,normal
V16,low,no,no,no,no,no,no,low
V04,low,no,yes,no,no,no,no,normal
V05,low,no,no,no,no,no,no,low
V14,low,no,no,no,yes,yes,no,normal
V20,high,no,no,no,no,no,no,high
V13,low,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,low
V04,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,yes,normal
V01,high,no,no,no,no,no,no,normal
V08,high,yes,no,no,yes,yes,no,normal
V08,low,no,no,no,no,no,no,normal
V16,low,no,no,no,no,no,no,normal
V17,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,high
V16,low,no,no,no,no,no,no,normal
V09,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V13,low,no,no,no,no,no,no,normal
V13,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,no,no,low
V03,low,no,yes,yes,no,no,yes,normal
V09,low,yes,no,no,no,no,no,normal
V09,low,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,normal
V15,outlier,no,no,no,no,no,no,low
V09,low,no,no,no,no,no,no,high
V18,high,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V01,high,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,yes,normal
V11,low,no,yes,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,high
V02,low,no,no,no,no,no,no,high
V08,low,no,no,no,no,no,no,high
V07,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V03,outlier,no,no,no,no,no,no,low
V09,low,no,no,no,no,no,no,low
V10,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,yes,no,normal
V03,low,no,yes,no,no,no,no,high
V01,high,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V11,low,no,no,no,no,no,no,normal
V14,outlier,no,yes,yes,yes,yes,no,low
V15,low,no,no,no,yes,yes,yes,low
V07,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,no,no,normal
V06,high,no,yes,no,yes,yes,no,low
V04,low,no,no,no,no,no,no,normal
V14,outlier,no,no,no,no,no,no,low
V02,low,no,no,no,no,no,no,normal
V09,outlier,no,yes,yes,yes,yes,no,low
V19,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V18,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,no,yes,normal
V03,low,no,no,no,no,no,no,normal
V09,outlier,no,no,no,no,no,no,normal
V18,low,no,no,no,yes,no,no,high
V01,high,no,no,no,no,no,yes,normal
V01,low,no,yes,no,yes,no,no,high
V11,low,no,no,yes,yes,yes,no,normal
V07,low,no,no,yes,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,high
V12,low,no,no,no,no,no,no,high
V09,low,yes,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V10,low,no,yes,no,no,no,no,high
V05,low,no,no,no,no,no,no,normal
V08,high,no,no,no,no,no,no,low
V10,low,no,no,no,yes,yes,no,normal
V02,high,no,no,no,yes,yes,no,low
V13,low,no,no,no,no,no,no,high
V18,low,no,no,no,no,no,no,high
V08,low,no,no,yes,no,no,no,high
V15,high,no,no,no,no,no,yes,low
V11,outlier,no,no,no,no,no,no,normal
V09,low,no,no,no,no,yes,no,high
V01,low,no,no,no,no,no,no,normal
V08,outlier,no,no,no,no,no,no,normal
V13,high,yes,no,yes,no,no,yes,low
V04,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,high
V09,low,no,yes,yes,no,no,no,normal
V12,low,no,no,no,no,no,no,high
V04,low,no,no,no,no,no,no,high
V04,low,no,no,no,no,no,no,normal
V03,low,yes,no,no,no,no,no,normal
V10,high,yes,yes,yes,no,yes,no,low
V11,low,no,no,no,no,no,no,high
V11,low,no,no,no,yes,yes,no,normal
V03,high,no,no,no,no,no,yes,low
V12,low,no,no,no,no,yes,no,low
V16,low,no,no,no,no,no,no,normal
V19,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,low
V09,low,no,no,no,no,no,no,normal
V09,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,high
V01,low,no,no,no,no,yes,no,normal
V04,low,no,no,no,no,yes,no,normal
V05,low,no,no,no,no,yes,yes,normal
V08,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V09,low,yes,no,no,no,no,no,high
V01,high,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,high
V02,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V07,low,no,no,no,yes,no,no,normal
V01,outlier,yes,yes,yes,yes,no,no,normal
V08,low,no,no,no,no,no,no,normal
V03,low,no,no,no,no,yes,no,high
V05,low,no,no,no,yes,yes,no,normal
V03,low,no,no,no,no,no,no,normal
V11,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V03,high,no,no,no,no,no,no,normal
V02,outlier,no,yes,yes,yes,no,no,normal
V14,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,low
V06,low,no,no,no,no,no,no,high
V20,low,no,no,no,no,no,no,normal
V06,low,no,no,no,no,yes,no,low
V06,low,no,no,no,no,no,no,low
V10,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V01,low,yes,no,no,no,no,no,normal
V05,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V05,high,no,no,no,yes,no,no,high
V09,low,no,yes,no,yes,no,no,high
V12,low,no,no,no,no,yes,yes,normal
V07,low,no,no,no,yes,yes,yes,low
V15,low,no,yes,no,no,no,no,low
V06,outlier,yes,yes,no,yes,yes,no,low
V18,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V17,low,no,no,no,no,no,no,normal
V12,low,no,no,no,no,no,no,normal
V20,low,no,no,no,no,no,no,normal
V14,low,no,no,no,no,no,no,normal
V02,low,no,yes,no,no,no,no,normal
V05,low,no,no,no,no,yes,no,normal
V15,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V04,low,no,no,no,yes,no,no,normal
V02,low,no,no,no,no,no,no,normal
V11,low,no,no,no,no,no,no,normal
V05,low,no,no,no,no,yes,no,low
V05,low,no,no,no,no,no,no,high
V13,low,no,no,no,no,no,no,high
V05,low,no,no,no,no,yes,no,normal
V06,low,no,no,no,no,no,yes,normal
V06,low,no,no,no,no,no,no,normal
V03,outlier,no,no,no,no,no,no,high
V10,low,yes,no,no,yes,no,no,normal
V04,low,no,no,no,no,no,no,normal
V10,high,no,yes,no,no,no,no,normal
V06,low,no,no,no,no,no,no,normal
V01,low,no,no,no,no,no,no,normal
V05,high,no,no,no,no,no,no,low
V01,low,no,no,no,no,no,no,normal
V04,high,no,yes,yes,yes,no,no,normal
V02,low,no,no,yes,yes,no,no,high
V03,low,no,yes,yes,no,yes,no,high
V05,low,no,no,no,no,yes,no,normal
V02,low,no,no,yes,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,high
V07,outlier,no,no,no,no,no,no,normal
V10,high,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,normal
V02,low,no,no,yes,no,no,no,normal
V04,low,yes,yes,yes,no,no,no,high
V18,high,no,no,no,no,no,no,normal
V06,low,no,no,no,no,no,no,high
V06,low,no,no,no,no,no,no,normal
V03,low,no,no,yes,no,no,no,high
V02,high,no,no,no,no,no,no,normal
V18,outlier,no,no,no,no,no,no,normal
V12,low,no,no,no,no,yes,no,normal
V14,low,no,no,no,no,no,no,normal
V01,low,no,yes,no,no,no,no,high
V04,low,no,no,no,yes,no,no,high
V03,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,low
V06,high,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V08,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V06,low,no,no,yes,no,no,no,normal
V04,high,no,yes,yes,no,yes,no,low
V01,low,no,no,yes,no,yes,no,normal
V01,low,no,no,no,no,no,no,normal
V10,low,no,no,no,no,no,no,normal
V04,low,no,no,no,no,no,no,normal
V13,low,no,no,no,no,yes,yes,normal
V12,low,no,no,no,no,no,yes,normal
V01,low,no,no,yes,no,no,no,high
V13,low,no,no,no,no,no,no,high
V11,low,no,no,no,no,no,no,normal
V07,low,no,no,no,no,no,no,normal
V02,low,no,no,no,no,no,no,normal
V05,low,no,no,no,yes,yes,no,normal
V02,low,no,no,no,no,no,no,normal
V18,low,no,no,no,no,no,no,normal
V10,low,no,yes,no,no,no,no,normal
